ts_utc,symbol,setup,side,entry,sl,tp,was_executed,skip_reason
2026-04-27 20:15:07,SOLUSD,RG2,SELL,84.19,84.44,83.94,N,error:circuito alpaca abierto
2026-04-27 20:15:13,SOLUSD,RG2,SELL,84.19,84.44,83.94,N,error:circuito alpaca abierto
2026-04-27 20:15:18,SOLUSD,RG2,SELL,84.19,84.44,83.94,N,error:circuito alpaca abierto
2026-04-27 20:46:33,ETHUSD,RG2,SELL,2292.17,2299.05,2285.29,N,insufficient_balance
2026-04-27 20:46:59,XRPUSD,RG2,SELL,1.3924,1.4,1.39,N,error:circuito alpaca abierto
2026-04-27 20:47:05,XRPUSD,RG2,SELL,1.3924,1.4,1.39,N,error:circuito alpaca abierto
2026-04-27 20:47:11,XRPUSD,RG2,SELL,1.3924,1.4,1.39,N,error:circuito alpaca abierto
2026-04-27 20:47:16,XRPUSD,RG2,SELL,1.3924,1.4,1.39,N,error:circuito alpaca abierto
2026-04-27 20:49:32,SOLUSD,RG2,SELL,84.23,84.48,83.98,N,insufficient_balance
2026-04-27 21:02:28,SOLUSD,RG2,SELL,84.19,84.44,83.94,N,insufficient_balance
2026-04-27 21:21:29,XRPUSD,RG2,SELL,1.3919,1.4,1.39,N,insufficient_balance
2026-04-27 21:44:30,XRPUSD,RG2,SELL,1.3918,1.4,1.39,N,insufficient_balance
2026-04-27 21:45:58,BTCUSD,RG2,SELL,76877.09,77107.72,76646.46,N,error:circuito alpaca abierto
2026-04-27 21:46:04,BTCUSD,RG2,SELL,76877.09,77107.72,76646.46,N,error:circuito alpaca abierto
2026-04-27 21:46:09,BTCUSD,RG2,SELL,76877.09,77107.72,76646.46,N,error:circuito alpaca abierto
2026-04-27 21:46:15,BTCUSD,RG2,SELL,76877.09,77107.72,76646.46,N,error:circuito alpaca abierto
2026-04-27 21:48:30,ETHUSD,RG2,SELL,2288.94,2295.81,2282.07,N,insufficient_balance
2026-04-27 21:51:55,AVAXUSD,RG2,SELL,9.17,9.2,9.14,N,insufficient_balance
2026-04-27 21:54:30,BTCUSD,RG2,SELL,76886.81,77117.47,76656.15,N,insufficient_balance
2026-04-28 00:08:33,BTCUSD,RG2,SELL,77298.01,77529.9,77066.12,N,insufficient_balance
2026-04-28 00:10:00,BTCUSD,RG2,BUY,77357.43,77125.36,77589.5,Y,
2026-04-28 00:21:29,BNBUSD,RG2,SELL,626.25,628.13,624.37,N,"error:asset ""BNBUSD"" not found"
2026-04-28 00:38:26,BNBUSD,RG2,BUY,626.71,624.83,628.59,N,"error:asset ""BNBUSD"" not found"
2026-04-28 00:38:58,ETHUSD,RG2,BUY,2305.18,2298.26,2312.1,Y,
2026-04-28 00:38:58,SOLUSD,RG2,BUY,84.77,84.52,85.02,Y,
2026-04-28 01:01:27,XRPUSD,RG2,SELL,1.3976,1.4,1.39,N,insufficient_balance
2026-04-28 01:03:35,BNBUSD,RG2,SELL,626.66,628.54,624.78,N,"error:asset ""BNBUSD"" not found"
2026-04-28 01:04:02,SOLUSD,RG2,SELL,84.74,84.99,84.49,N,insufficient_balance
2026-04-28 01:11:41,AVAXUSD,RG2,SELL,9.24,9.27,9.21,N,insufficient_balance
2026-04-28 01:19:31,XRPUSD,RG2,SELL,1.3981,1.4,1.39,N,insufficient_balance
2026-04-28 01:20:33,ETHUSD,RG2,SELL,2304.6,2311.51,2297.69,N,insufficient_balance
2026-04-28 01:36:16,ETHUSD,RG2,SELL,2304.6,2311.51,2074.13,N,insufficient_balance
2026-04-28 01:37:34,ETHUSD,RG2,SELL,2304.6,2311.51,2074.13,N,no_position_to_sell
2026-04-28 01:37:34,BNBUSD,RG2,BUY,626.7,624.8,689.3,N,asset_not_found
2026-04-28 01:39:58,ETHUSD,RG2,BUY,2305.1,2298.0,2376.1,Y,
2026-04-28 02:02:11,AVAXUSD,RG2,SELL,9.24,9.27,9.21,N,no_position_to_sell
2026-04-28 02:05:50,AVAXUSD,RG2,BUY,9.26,9.23,9.29,Y,
2026-04-28 02:19:00,XRPUSD,RG2,BUY,1.3985,1.39,1.4,Y,
2026-04-28 02:25:00,BNBUSD,RG2,SELL,625.71,627.59,623.83,N,asset_not_found
2026-04-28 02:25:31,ETHUSD,RG2,SELL,2297.74,2304.63,2290.85,N,insufficient_balance
2026-04-28 02:26:59,BTCUSD,RG2,SELL,77058.18,77289.35,76827.01,N,no_position_to_sell
2026-04-28 02:27:26,AVAXUSD,RG2,SELL,9.24,9.27,9.21,N,insufficient_balance
2026-04-28 03:05:00,BTCUSD,RG2,SELL,76812.41,77042.85,76581.97,N,no_position_to_sell
2026-04-28 03:07:59,BNBUSD,RG2,SELL,623.79,625.66,621.92,N,asset_not_found
2026-04-28 03:22:59,SOLUSD,RG2,SELL,84.1,84.35,83.85,N,no_position_to_sell
2026-04-28 04:07:37,XRPUSD,RG2,SELL,1.3913,1.4,1.39,N,insufficient_balance
